a52dec 0.8.0-2
xorg-xprop 1.2.7-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.2-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.2-1
xz 5.6.2-1
yay-bin 12.4.2-1
yay-bin-debug 12.4.2-1
yazi 0.3.3-1
yyjson 0.10.0-1
zbar 0.23.93-1
zeromq 4.3.5-2
zig 0.13.0-1
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-2
zoxide 0.9.6-1
zram-generator 1.1.2-1
zstd 1.5.6-1
zvbi 0.2.42-1
zxing-cpp 2.2.1-1
